0,Segment,WC,Analytic,Clout,Authentic,Tone,WPS,BigWords,Dic,Linguistic,function,pronoun,ppron,i,we,you,shehe,they,ipron,det,article,number,prep,auxverb,adverb,conj,negate,verb,adj,quantity,Drives,affiliation,achieve,power,Cognition,allnone,cogproc,insight,cause,discrep,tentat,certitude,differ,memory,Affect,tone_pos,tone_neg,emotion,emo_pos,emo_neg,emo_anx,emo_anger,emo_sad,swear,Social,socbehav,prosocial,polite,conflict,moral,comm,socrefs,family,friend,female,male,Culture,politic,ethnicity,tech,Lifestyle,leisure,home,work,money,relig,Physical,health,illness,wellness,mental,substances,sexual,food,death,need,want,acquire,lack,fulfill,fatigue,reward,risk,curiosity,allure,Perception,attention,motion,space,visual,auditory,feeling,time,focuspast,focuspresent,focusfuture,Conversation,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,QMark,Exclam,Apostro,OtherP
"while it is true that it is considered worse to harm sentient creatures than microbes and less sentient creatures  sentient creatures are the most like humans and so the most valuable for making discoveries that are applicable to humans  testing on sentient creatures is necessary  they are most like humans, everybody has benefited immensely from scientific research involving animals and that virtually every medical achievement in the past century has depended directly or indirectly from this type of work   the world has benefited hugely from medical research with animals, if we can kill and take life animal life for certain ends  don t we undermine the value and dignity of life generally  killing animals undermines the dignity life, oregon regional primate research center are known to impregnate monkeys  expose the mothers and their unborn babies to nicotine  and then test and kill the born baby to discover the effects of tobacco  this is unethical  testing impregnated animals and their offspring is immoral, so that if there is a decent chance that an experiment will result in an important medical breakthrough that will reduce human suffering and death then it is justifiable to allow animal suffering  animal experimentation is the  sometimes distasteful  means to much greater ends  animal testing and suffering is justified if it reducing human suffering, animals  allow us to test possibly life saving treatments before they are considered safe to test in humans   if animals were not available to use in testing drugs  it would be more difficult to determine the safety of a drug to humans  which would delay the release of potentially life saving drugs  this could cost human lives  animals are important to testing life saving drugs before they are safe for humans, animals are still used to test items like cleaning products  which benefit mankind less than medicines or surgery   animal testing should only be conducted where it could potentially save human life  this is the only way in which the intentional harm and destruction of animal lives could be justified  animal testing for non life saving human products is unjust, bernard rollin argues that any benefits to human beings cannot outweigh animal suffering  the benefits to human beings cannot outweigh the suffering of the animals",1,372,64.78,57.69,10.77,11.91,372,29.57,84.68,61.29,46.77,7.8,2.15,0,0.81,0,0,1.34,5.65,11.56,5.65,0,11.83,9.95,3.23,7.26,0.81,17.2,8.87,2.69,3.49,0.81,0.54,2.15,16.13,1.08,15.05,2.96,3.76,2.42,4.03,0.27,3.76,0,8.87,4.03,4.84,1.61,0,1.61,0,0,0,0,11.56,3.49,0,0,1.34,1.61,0,6.72,0.81,0,0.27,0,0,0,0,0,5.11,0,0,4.84,0.27,0,7.26,4.84,0.27,0,0,0.54,0.27,0,1.08,0.27,0,0.27,0,0,0,1.34,1.34,1.34,3.76,3.76,0,0,3.76,0,0,0,3.23,2.15,7.53,1.08,0,0,0,0,0,1.88,0,1.88,0,0,0,0
"for example  it is responsible to use a cell phone while the car is at a standstill in gridlocked traffic  while waiting at traffic lights  or on a quiet road with good visibility ahead  the driver should be taught to use cell phones on the road with discretion  rather than rigidly banning their use all together  citizens  judgement should be trusted in using cell phones, in britain  a study a few years ago  using a driving simulator  found that motorists using hand held phones took 30 per cent longer to react to hazards than motorists driving under the influence of alcohol and 50 per cent longer than drivers not under the influence  using a cell phone in a car is like drunk driving, driving while using cellphones reduces safety margins  those who assert they know the difference between safe and unsafe use of phones should ask themselves if they are equally confident that the testosterone loaded 18 year old rushing from football practice to meet his girlfriend will show the same good judgment when his phone beeps as he approaches in the opposite direction   society can t  trust judgement  of drivers with cell phones, a prudent regard for safety doesn t imply cell phones should be banned  americans are willing to tolerate some 41 000 annually deaths from car accidents  if we wish to decisively curtail automobile deaths  the national speed limit should be set at 10 miles per hour and vigorously enforced  yet we re not willing to do that  because that inconvenience outweighs the pleasure and efficiency of being able to get places quickly   banning cell phones is not the best way to save lives, james prieger an economist at the university of california davis     in our sample  the true effect on accidents is apparently too small to be statistically significant  that is not to say that we think there is no danger at all from using cell phones while driving   cell phone bans in cars do not save lives, if one is late  there is little difference in apologizing while in their car over a cell phone and apologizing in front of their boss at the office  so  they should have the restraint to drive at the speed limit  arriving late  and being willing to apologize then  an apologetic cell phone call in a car to a boss shouldn t be the cause of one being able to then relax  slow down  and drive the speed limit  people should not explain in car on phone why they are running late, using mobiles on the road could improve safety  for example  by allowing delayed employees to ring in to the office rather than drive recklessly in an effort to arrive more promptly  drivers now often use mobile phones to report accidents to the emergency services  and alert the police to dangerous driving  stray animals  unsafe loads  etc  cell phone use in cars probably saves lives, drivers now often use mobile phones to report accidents to the emergency services  and alert the police to dangerous driving  stray animals  unsafe loads  etc  calling to say  i m running late  helps prevent speeding",1,522,92.35,38.95,53.36,30.69,522,22.03,88.7,60.15,45.59,4.79,3.26,0.19,0.77,0,0.57,1.53,1.53,11.69,7.66,1.53,16.28,6.51,3.64,5.36,1.34,13.6,5.94,3.64,6.32,1.72,1.53,3.07,13.41,0.57,12.84,1.53,4.41,2.11,1.72,0,3.64,0,4.21,2.49,1.72,0.96,0.96,0,0,0,0,0,9.2,4.98,0.96,0.96,0,0.38,2.11,4.21,0,0.19,0.19,0.57,8.24,0.19,0,8.05,3.83,0.38,0,2.87,0.57,0,1.72,0.38,0,0,0,0.38,0,0.19,0.38,0.38,0.19,0.38,0,0,0,0,3.07,0,4.6,11.3,0.38,3.26,6.7,0.57,0.38,0,5.94,1.15,3.64,0.57,0,0,0,0,0,1.34,0,1.34,0,0,0,0
"if an individual wants to live in the forest in complete seclusion and without any interaction with other humans beings  shouldn t he be allowed to do so  why should other people and government have binding rights over that individual  this is the reality in modernity  and contradicts our natural state as fully independent and self sufficient creatures  individuals have a right to own themselves with full independence, the only thing that can replace civil  democratic government would be a form of free market governance  without democratic controls  this form of governance is much more likely to be abusive and undermine individual rights  free market economics fosters capitalist authoritarianism  undermines rights, nevada attorney general frankie sue del papa  replying to county rights advocates   1993    there has been little or no mention of the vast body of law which contradicts your position  i think you owe it to the people whom you address to explain its existence   libertarianism contradicted by mere existence of body of law, l john jay  federalist no  2    nothing is more certain than the indispensable necessity of government  and it is equally undeniable  that whenever and however it is instituted  the people must cede to it some of their natural rights in order to vest it with requisite powers   individuals must cede some rights to gain collective  democratic power, when people are given the choice of what they want to do  they are likely to choose the one that is best for themselves and society  because this is true  it is in the collective interests of society to trust in the choices of individuals  because society is better off with full individual choice  we should extend to individuals full independence in their decision making  people choose best for themselves  they should have a right to this choice, most libertarians consider government the main impediment to individual rights  this ignores the fact that constitutions are written to enshrine individual rights  and governments are tasked with upholding these rights with laws and other acts  libertarians overlook that government law exist to preserve rights, if an individual has the full right to own and control themselves  this means that they have the full right to transfer that ownership to others  this risks voluntary enslavement  which is wrong  libertarian  full self ownership  permits voluntary enslavement, it is important that voters have alternatives  libertarianism offer such an alternative to the conservative liberal dichotomy of view points  libertarianism offers voters an important political alternative",1,411,70.42,64.5,8.93,23.3,411,29.2,88.56,61.8,48.91,11.68,4.38,0.24,0.49,0.73,0.24,2.43,7.3,14.36,5.6,0.49,13.63,8.52,2.43,5.35,0.73,11.44,9.73,5.35,10.95,1.46,0.97,8.52,15.09,1.7,13.38,2.68,2.19,2.19,1.46,0.49,4.87,0,2.68,1.46,1.22,0,0,0,0,0,0,0,13.63,3.16,0,0,0.49,0.24,0.97,8.76,0.24,0,0,0.49,6.08,6.08,0,0,1.7,0,0,0.49,1.22,0,0.73,0,0,0,0,0,0,0,0,0.97,0.49,0.24,0,2.19,0,0.24,0.49,0.24,6.33,5.6,0.73,0,4.62,0.24,0,0,0.73,0.73,5.11,0.24,0,0,0,0,0,1.7,0,1.7,0,0,0,0
"i am impressed by the complications of non circumcision  particularly acute paraphimosis  chronic phimosis  penile carcinoma and papillomata about the prepuce   non circumcision can result in many complications, the foreskin can trap bacteria and give rise to infections of the penis  the uncircumcised often suffer from penis infections, the vast majority of continental european men who are not moslems are intact  if being intact leads to worse health outcomes  comparing data from europe and america would reveal that  i know of no such comparison  except one  the circumcised usa has the highest frequency of hiv positive individuals in the oecd  uncircumcised europeans do not experience significant health problems, most parents are pressured to hand their baby sons over to a stranger  who  behind closed doors  straps babies down and cuts their foreskins off  the billion dollar a year circumcision industry has bombarded americans with confusing rhetoric and calculated scare tactics   circumcision industry drives false medical justifications, 4  syphilis has long been known to be more common in uncircumcised men  easy tearing of the delicate inner foreskin lining during intercourse offers entry to the spirochete   circumcision helps protect against syphilis, reduces by 30 50  risk of prostate cancer  which affects 1 in 6 men   circumcision reduces the risk of prostate cancer, skin bridge  can result from circumcision  it is a complication in healing of the wound  by which a piece of skin from the shaft of the penis has become attached to the glans  or another point along the shaft  forming a  bridge  that must be surgically corrected   circumcision can cause a  skin bridge  on penis, circumcision has been driven by a religious and other ideologies that have  for example  considered masturbation a sin and circumcision a solution to this sin  medical studies and conclusions are often driven by a desire to justify these ideological positions  ideologies drive false medical justifications for circumcision",1,312,95.68,31.11,16.81,6.43,312,30.77,79.17,53.85,43.91,4.81,1.92,0.64,0,0,0,0.64,2.88,14.1,8.97,2.24,15.06,7.69,1.28,3.21,0.96,11.54,6.09,3.85,1.6,0.64,0.64,0.64,14.74,0.32,14.42,3.85,2.88,2.56,1.6,0.64,3.85,0,3.21,0.64,2.24,1.28,0,0.96,0.32,0,0,0,6.09,2.24,0.32,0,0.32,0.64,0,3.85,1.28,0,0,1.28,0.96,0,0.96,0,2.56,0,0,0.96,0.32,1.28,9.62,4.81,2.88,0.32,0,0,4.49,0,0,0,0.32,0,0,0,0,0,0.96,0,2.56,6.09,0,0.96,4.81,0.32,0,0,1.28,1.6,6.09,0,0,0,0,0,0,2.24,0,2.24,0,0,0,0
"the 700 mile fence would be designed with greater focus on stopping illegal immigrants and would likely be much more effective at doing so  many past fences have failed to stop illegal immigration only because they were meant to stop drug trafficking, while the wall proposed is 700 miles long  the us mexico border is roughly 2 000 miles long  illegal immigrants will simply cross over the two thirds of the border that is not covered by the fence  illegal immigrants will simply go around a 700 mile fence, in general  coyotes will always respond to difficulties with effective counter measures that enable them to do business  and shuttle illegal immigrants across  coyotes will respond to a border fence with innovative new ways to cross, there is no substitute for man power  and the plan accompanying the 700 mile fence has been to send national guardsmen to provide support in patrolling the borders  this has proven beneficial and compliments greatly the construction of a 700 mile wall  a physical fence accompanied with border patrollers will be effective, illegal immigrants can cross the us mexico border with false papers and passports or by obtaining a visa to enter the united states but with the intention to overstay the visa s time period  which amounts to illegal immigration  these problems cannot be resolved through a border fence  a wall doesn t prevent crossings by false papers or visa overstays, roads need to be built to enable the construction of a border barrier  these roads  however  would actually better enable the rapid movement of illegal immigrants along the border in or outside of cars  thus actually aiding illegal immigration  the roads required for building a border fence may actually aid illegal immigration, illegal immigrants are frequently being stuffed into cars and boats to make illegal crossing over legitimate road crossings  the techniques for doing so are highly resourceful  including the hallowing out of dashboards to fit a person  boats and vehicles can be used to get around a border fence, global security org cited 40 tunnels being built between 2001 and 2006 under the us mexico border  tunnels are a very effective means of bi passing a border fence  and are likely to contribute to the defeat of a 700 mile fence  tunnels will be dug to bi pass a 700 mile fence",1,390,92.63,50.75,54.33,2.7,390,25.64,84.62,62.56,45.9,2.05,0.51,0,0,0,0,0.51,1.54,12.05,9.49,3.33,14.62,9.74,4.36,4.62,0.77,15.38,7.44,3.85,5.9,0.77,2.05,3.08,11.28,0.51,10.77,1.54,2.31,1.79,1.79,1.54,2.05,0,7.69,2.56,5.13,0,0,0,0,0,0,0,7.69,3.08,1.28,0,0,0,0.51,4.62,0,0,0,0.26,7.44,6.67,3.59,0.77,1.03,0,0,1.03,0.26,0,1.03,0.26,0,0,0,0,0.51,0,0,0.51,0,0.51,0,0,0,0.26,0.51,0.26,4.1,14.36,0.26,2.56,11.79,0,0,0,2.56,2.05,3.85,2.31,0.51,0.51,0,0,0,1.79,0,1.79,0,0,0,0
"it is true that risks are run by other reproducing couples in society  but the magnitude of the risk is for the most part much smaller than those involved in incestuous reproduction  incest is more dangerous than other at risk reproduction, the rationale based on genetics is also suspect under current law  even setting aside nonprocreative intimate relationships  in no other legal realm does the government criminally prohibit two people from having children because their offspring are more likely to inherit genetic defects 30 even though the risks of birth defects among the most closely related family members are significant 31 eugenics on the basis of physical or mental deformity has long been repudiated   hereditary risk of incest are same as some other couples, conclusively determining  beyond a reasonable doubt  that incest is the cause of a specific defect in the child of an incestuous couple is very difficult  this makes it difficult to base a ban on incest on the presumption that incest is the cause of defects  incest is not easily determined as cause of defect, the offspring of incestuous couples have a difficult time understanding and identifying with their ancestry  this leads to unanswerable questions such as  who am i    which often requires therapy to resolve  incest offspring suffer from confusion about their identity, the offspring of incest often suffer from widespread rejection or mistreatment in society  on the playground  children of incest are likely to be bullied  with attitudes on incest unlikely to change  it is better that a ban help prevent such unfair episodes from occurring in the first place  incest offspring suffer from social moral rejection, this argument is a possible compromise  which allows for the legalization of consensual adult incest generally  but a ban on incestuous reproduction  incestuous relationships could be legal  but ban reproduction, the risks involved in blood relatives having children are vastly overstated  normally by people that oppose incest for spurious  moral  reasons  first cousins  for example  are  according to a 2002 article in the new york times  93  likely to give birth to an entirely ordinary child  compared to roughly 96  for the general population  risks for children of incest are tolerably low, the existence of other couples that run genetic risks is an argument against legalizing incestuous relationships  the medical system already has enough trouble dealing with the offspring created by couples with conditions society doesn t condemn  why add more ill offspring on top of this  and for the condemned practice of incest  legal incest would add risks on top of other risky mating",1,427,94.82,66.24,23.02,1.32,427,30.21,85.71,60.19,48.24,5.15,1.41,0.47,0,0,0,0.7,3.75,16.16,8.2,1.87,17.33,7.49,3.98,3.51,0.47,9.84,11.24,5.85,5.62,1.87,0.94,3.04,15.69,0.23,15.46,3.04,3.04,0.7,3.04,0.23,4.92,0,5.15,0.94,4.22,1.41,0,1.41,0,0.47,0,0,14.75,3.98,0.47,0,1.41,1.17,0.7,10.3,5.85,0,0,0,0.23,0.23,0,0,0.7,0,0,0.47,0.23,0,6.32,0.47,0,0,0,0,5.39,0,0,0.23,0,0,0,0.23,0,0,3.04,0.23,3.28,4.68,0,0.47,4.22,0,0,0,1.64,0.7,6.09,0.23,0,0,0,0,0,1.64,0,1.64,0,0,0,0
"since biofuels are derived from agricultural crops  they are renewable and will never run out  this compares favorably against fossil fuels  which will run out eventually  this means that biofuels can become a long term  sustainable solution to waning oil supplies  biofuels are abudnant  renewable  and will never run out, by stimulating jobs in rural areas  biofuels promote development in these areas  this will help resist some of the trends showing increased settlement in large cities  such urbanization has many costs socially  and should be resisted  biofuels will promote rural development, biofuels rely on agricultural harvest  and as it is commonly known  agricultural products are largely influenced by local weather conditions of the year  any natural disasters could spoil a whole year s hard work  the production of biofuels is unreliable, an oregon state university study found that the cost of biofuels  including tax subsidies  is many times more than alternatives such as increased fuel efficiency  developing a biofuel economy is more expensive than alternatives, biofuel development will not put pressure on food crops through increased prices or land shortages  neither will happen because we are far too resourceful to fail to remove these stumbling blocks touted by the anti biofuel spokespersons   biofuel stumbling blocks will be overcome with time, many observers believe that by the year 2025  the united states could get 25 percent of its automobile fuel from biofuel  i am not one of them  i believe the percentage will be lower  but that ethanol will still be an important piece of the energy puzzle   biofuels are essential to replacing waning and high priced petroleum, a wholesale societal shift from gasoline to biofuels  given the number of gas only cars already on the road and the lack of ethanol or biodiesel pumps at existing filling stations  would take some time   shifting to a biofuel economy would take decades, and commercialisation elusive    the economist   coming up empty   march 27th 2010   despite ample investment  production costs remain high",1,328,81.21,17.35,28.19,28.37,328,31.4,76.83,59.76,45.12,5.18,1.52,0.61,0.3,0,0,0.61,3.66,12.8,6.1,1.22,13.41,9.76,3.05,4.88,1.52,15.24,7.01,8.54,4.27,0.61,2.74,0.91,11.59,0.61,10.67,1.83,1.22,2.13,1.22,0.61,4.27,0,1.83,1.22,0.61,0,0,0,0,0,0,0,3.35,1.52,0.3,0,0,0,0.3,1.52,0,0,0,0,1.22,0.61,0,0.61,7.32,0.3,0,3.66,3.66,0,0.3,0,0,0,0,0,0,0.3,0,0.3,0,0.91,0.61,0.3,0,0,0,0,4.88,7.62,0,2.13,5.49,0.3,0,0,2.74,1.22,4.27,3.35,0,0,0,0,0,2.13,0,2.13,0,0,0,0
"karen finney  democratic consultant and commentator  former spokesman for the democratic national committee  wrote in a january 24  2010 washington post piece   at the very moment americans  mistrust of big corporations  big government and large institutions has reached a fever pitch  the supreme court moved to replace a government of  for and by the people with a government that can be bought and paid for by just about any major corporation    from exxon to russian owned lukoil to china s cpc corp   limited corp spending protects govt of by for people, president barack obama called the supreme court s citizens union decision in his 2010 january state of the union address   with its ruling today  the supreme court has given a green light to a new stampede of special interest money in our politics  it is a major victory for big oil  wall street banks  health insurance companies and the other powerful interests that marshal their power every day in washington to drown out the voices of everyday americans  this ruling gives the special interests and their lobbyists even more power in washington  while undermining the influence of average americans who make small contributions to support their preferred candidates    unlimited spending allows special interests to dominate elections, richard l  hasen  professor of law at loyola law school  found that the ruling  increases the dangers of corruption in our political system and it ignores the strong tradition of american political equality   unlimited election spending will increases corruption, justice john paul stevens said in january of 2010 in a dissenting opinion following the supreme court s 5 4 vote to allow unlimited corporate spending in elections   cripple the ability of ordinary citizens  congress and the states to adopt even limited measures to protect against corporate domination of the electoral process   unlimited spending allows corps to fight election regulations, the christian science monitor wrote that the court had declared  roberts court declares outright that corporate expenditures cannot corrupt elected officials  that influence over lawmakers is not corruption  and that appearance of influence will not undermine public faith in our democracy   ruling pretends corp spending doesn t corrupt, 3  the government s asserted interest in protecting share holders from being compelled to fund corporate speech  like the anti distortion rationale  would allow the government to ban political speech even of media corporations  the statute is underinclusive  it only protects a dissenting shareholder s interests in certain media for 30 or 60 days before an election when such interests would be implicated in any media at any time   new info tech makes limits on speech unrealistic, chicago tribune editorial board member steve chapman wrote   if corporate advocacy may be forbidden as it was under the law in question  it s not just exxon mobil and citigroup that are rendered mute  nonprofit corporations set up merely to advance goals shared by citizens  such as the american civil liberties union and the national rifle association  also have to put a sock in it  so much for the first amendment goal of fostering debate about public policy   spending limits harm speech of more than just corps, justice stevens  with whom justice ginsburg  justice breyer  and justice sotomayor dissented from the majority ruling on citizens united  arguing   at bottom  the court s opinion is thus a rejection of the common sense of the american people  who have recognized a need to prevent corporations from undermining self government since the founding  and who have fought against the distinctive corrupting potential of corporate electioneering since the days of theodore roosevelt  it is a strange time to repudiate that common sense  while american democracy is imperfect  few outside the majority of this court would have thought its flaws included a dearth of corporate money in politics   citizens united illogically increases money in elections",1,631,96.35,50.44,8.23,28.71,631,34.07,85.74,55.47,40.1,5.07,1.74,0,0.48,0,0.16,0.48,3.33,13.15,8.08,1.43,15.53,4.28,2.38,4.12,0.63,9.35,8.87,4.12,13.31,1.9,0.79,10.62,8.56,0.32,8.08,2.06,2.06,1.11,1.27,0.16,2.06,0,4.75,2.69,2.06,0.32,0,0.32,0,0.16,0,0,11.73,7.92,0.32,0,1.58,1.9,2.38,3.96,0,0,0,0.32,10.46,9.35,0.95,0.16,7.29,0,0,5.07,2.22,0.32,0.48,0.32,0.16,0,0,0,0,0,0.16,0.63,0,0.16,0.16,0,0,0.32,1.27,1.11,3.8,6.66,0.95,0.48,4.44,0.48,0.16,0.32,2.69,3.01,2.22,0.95,0,0,0,0,0,1.11,0,1.11,0,0,0,0
"economic globalization is a process that leads to the reduction in official obstacles to cross border economic transactions  this often makes it as inexpensive to do business with foreigners as it is to do business at home  thus reducing the advantages held by domestic businesses     ap comparative government and politics briefing paper  globalization   by matthew krain  globalizations helps international trade flourish, yuriy gorodnichenko  jan svejnar  and katherine terrell   globalization and innovation in emerging markets   nber working paper no 14481 november 2008  foreign competition boosts innovation, each actor in the international system is tied together more closely and in numerous ways  as a result  each becomes more sensitive to the decisions or actions of others and more vulnerable to the effects of others  choices and actions   our economies are becoming more interdependent  and thus more sensitive and vulnerable    ap comparative government and politics briefing paper  globalization   by matthew krain  globalization increases market sensitivity, structural adjustment programs often force countries in the developing world to streamline the economy and redirect spending away from social welfare and toward export sectors and other profit yielding enterprises  this can lead to a reduction in or elimination of many social welfare programs such as health  food  and housing subsidies     ap comparative government and politics briefing paper  globalization   by matthew krain  globalization undermines social welfare programs, over the past 20 years  200 million people have left absolute poverty    defined as living on the equivalent of less than  1 a day   globalization helps eradicate poverty, foreign direct investment  one of the pillars of globalization  is closely linked to transmission of ideas and technical information  creation of new jobs  as it serves as a boost for ailing economies  globalizations allows for foreign direct investment, lacking mature financial sectors  emerging nations are unable to float their currencies if they wish to attract foreign capital because exchange rate volatility would reduce foreign investment inflows        prominent economists such as joseph stiglitz and jagdish bhagwati believe that financial liberalizations by developing countries would most likely lead to financial collapse        although greater economic and financial integration permits diversification from narrow production bases  it also induces greater specialization in production and makes countries susceptible to external economic shocks   financial liberalization is difficult to implement, multinational companies tend to  seek the lowest level of regulation and taxation  forcing competing governments to lower their standards of labor  human rights  and environmental protection  taxation  and other regulation     ap comparative government and politics briefing paper  globalization   by matthew krain  globalization accelerates the  race to the bottom",1,417,91.08,27.01,50.77,23.25,417,43.41,81.53,51.32,37.17,3.36,0.96,0,0.24,0,0,0.72,2.4,10.07,4.32,1.68,14.15,3.12,1.68,8.87,0.24,6.47,11.03,4.08,7.43,0.96,2.16,5.76,12.23,0.24,11.99,2.4,3.12,1.2,1.68,0,3.84,0,1.2,0.72,0.48,0,0,0,0,0,0,0,4.32,2.16,0.48,0,0.24,0.48,0,1.44,0,0,0,0,4.8,3.84,0.24,0.72,11.03,0.24,0.48,4.56,7.67,0,0.96,0.48,0.24,0,0,0,0,0.24,0,0,0.24,0,0.72,0,0,0.48,0.24,0.72,0.96,12.23,0.24,1.2,10.31,0,0,0.48,1.68,0.48,3.36,0.24,0,0,0,0,0,1.68,0,1.68,0,0,0,0
"under the principles of secularism promoted in europe  it is illogical to take away women s freedom concerning their way of dressing based on the assumption that a certain dress can hinder a woman s freedom in different walks of life        outlawing the burqa merely trades one form of compulsion  you must wear this  for another  you may not wear this    wrong to force removal of burqa to protect against forced wearing, french president nicholas sarkozy  laying the groundwork for a burqa ban  said in 2009   in our country  we cannot accept that women be prisoners behind a screen  cut off from all social life  deprived of all identity   the burqa is not a religious sign  it s a sign of subservience  a sign of debasement   i want to say it solemnly  it will not be welcome on the territory of the french republic   full veils represent misogynist ideology designed to oppress women, on sexual equality  women would be better protected by the enforcement of existing laws against domestic violence than by the enactment of new laws forcing them to dress in a way that may be against their will   enforce laws on forced wearing of burqa  don t ban it, everyone i spoke to who wore islamic dress       felt liberated not being judged on their appearance  and those who choose to wear the niqab are doing that to an extreme   burqa liberates women from visual judgement, we share this abhorrence for such clothing  the burka signifies the notion that a woman is a piece of male property  which must be packaged and caged        still  banning burkas is not the right way to battle the sexist ideas that burkas symbolize  in our society  women have a right to wear what they want  assuming they choose to do so of their own free will   even if burqa is oppressive symbol  women have right to wear it, even if sarkozy is correct  and there s good reason to assume he isn t  the most glaring problem is that a ban on of the burqa would likely prompt women to cling to it tighter  to hang on to a material representation of a persecuted immaterial identity   ban causes women to cling to burqa more tightly, the wives of the prophet wore the burqa  and  so many see the burqa as a way of emulating them  and further expressing their faith  some women wear burqa to emulate wives of prophet muhammad, in the bitterly  painfully cold toronto winter cold snap we had last week  i found myself thinking that a piece of fabric designed to cover the face could actually be a great idea  in saying that  i don t mean to trivialize the issue  but instead to say that covering one s face  as with many experiences  can have multiple meanings  and might even be to one s advantage at certain times   burqa has diversity of meaning to women that wear it",1,489,90.08,59.53,9.96,10.18,489,20.65,82,61.76,50.72,10.43,4.91,1.02,1.02,0.41,0.2,1.84,5.52,15.34,8.38,0.82,16.77,7.57,2.66,2.86,1.23,13.29,5.32,3.27,6.34,1.84,0.61,4.09,12.68,0.61,12.07,2.86,1.43,2.25,1.84,0.82,3.89,0,4.7,1.84,2.86,0.61,0.2,0.41,0,0.2,0,0,12.47,3.89,0,0.2,0.2,1.43,1.02,7.98,0.41,0,3.07,0.41,1.23,0.61,0.61,0,2.04,0.41,0,0.41,0.2,1.23,1.23,0.2,0.2,0,0,0,0.2,0.41,0,0.2,0.41,0.61,0.2,0.2,0,0.2,0.61,0,3.68,6.54,0,0.41,4.29,0.82,0,1.23,1.02,1.43,2.66,1.23,0,0,0,0,0,1.43,0,1.43,0,0,0,0
