distro	acc	diff_bias	section_type	setup
0:0	0.27	without	1	1
0:0	0.33	without	2	1
0:0	0.58	without	3	1
0:0	0.66	without	4	1
0:0	0.60	without	1	2
0:0	0.55	without	2	2
0:0	0.42	without	3	2
0:0	0.50	without	4	2
2:2	0.33	without	1	1
2:2	0.28	without	2	1
2:2	0.56	without	3	1
2:2	0.57	without	4	1
2:2	0.62	without	1	2
2:2	0.67	without	2	2
2:2	0.56	without	3	2
2:2	0.54	without	4	2
4:4	0.11	without	1	1
4:4	0.36	without	2	1
4:4	0.44	without	3	1
4:4	0.64	without	4	1
4:4	0.70	without	1	2
4:4	0.64	without	2	2
4:4	0.52	without	3	2
4:4	0.59	without	4	2
4:2/2:4	0.44	with	1	1
4:2/2:4	0.44	with	2	1
4:2/2:4	0.55	with	3	1
4:2/2:4	0.65	with	4	1
4:2/2:4	0.77	with	1	2
4:2/2:4	0.69	with	2	2
4:2/2:4	0.66	with	3	2
4:2/2:4	0.59	with	4	2
4:0/0:4	0.45	with	1	1
4:0/0:4	0.55	with	2	1
4:0/0:4	0.68	with	3	1
4:0/0:4	0.70	with	4	1
4:0/0:4	0.88	with	1	2
4:0/0:4	0.80	with	2	2
4:0/0:4	0.75	with	3	2
4:0/0:4	0.66	with	4	2
2:0/0:2	0.41	with	1	1
2:0/0:2	0.60	with	2	1
2:0/0:2	0.55	with	3	1
2:0/0:2	0.68	with	4	1
2:0/0:2	0.88	with	1	2
2:0/0:2	0.86	with	2	2
2:0/0:2	0.62	with	3	2
2:0/0:2	0.66	with	4	2
