distro,setup,acc,pro_prec,con_prec,con_distro,neu_distro,pro_distro,unk_distro
0:0,setup_1,0.80,0.78,0.83,35,2,32,3
0:4,setup_1,0.68,0.80,0.33,14,4,49,5
0:0,setup_1,0.77,0.64,0.92,35,13,23,1
2:2,setup_1,0.69,0.72,0.61,20,9,40,3
0:4,setup_1,0.83,0.83,0.83,18,7,45,2
0:2,setup_1,0.22,0.20,0.28,39,9,20,4
4:4,setup_1,0.55,0.56,0.0,20,9,40,3
4:4,setup_1,0.55,0.52,0.67,29,8,33,2
2:4,setup_1,0.54,0.58,0.25,15,7,41,9
4:4,setup_1,0.58,0.62,0.52,36,8,26,2
0:0,setup_2,0.88,0.83,0.94,37,1,31,3
0:4,setup_2,0.54,0.61,0.33,21,3,42,6
0:0,setup_2,0.91,0.94,0.89,37,1,34,0
2:2,setup_2,0.84,0.89,0.72,18,2,50,2
0:4,setup_2,0.98,0.98,1.0,18,1,53,0
2:4,setup_2,0.22,0.17,0.24,41,3,28,0
4:4,setup_2,0.80,0.81,0.0,13,1,58,0
4:4,setup_2,0.61,0.54,0.83,30,10,31,1
2:4,setup_2,0.56,0.57,0.56,26,5,40,1
0:2,setup_2,0.88,0.85,0.91,44,1,27,0
