worker_ratio_approved_assignments,worker_ratio_approved_assignments_of_project,sandbox,creation,expiration,status_external,status_internal,information_age_group,information_education_level.bachelors,information_education_level.basic,information_education_level.postgraduate,information_english_skills.Low,information_english_skills.high,information_english_skills.medium,information_gender.F,information_gender.M,information_gender.other,information_nationality,personal_stance_1.agree,personal_stance_1.disagree,personal_stance_1.neutral,personal_stance_1.unknown,personal_stance_2.agree,personal_stance_2.disagree,personal_stance_2.neutral,personal_stance_2.unknown,personal_stance_3.agree,personal_stance_3.disagree,personal_stance_3.neutral,personal_stance_3.unknown,personal_stance_4.agree,personal_stance_4.disagree,personal_stance_4.neutral,personal_stance_4.unknown,question-select_300.1-2,question-select_300.2-2,question-select_300.3-2,question-select_300.4-2,question-select_310.1-2,question-select_310.2-2,question-select_310.3-2,question-select_310.4-2,question-select_3110.1-1,question-select_3110.2-1,question-select_3110.3-1,question-select_3110.4-1,question-select_3120.1-1,question-select_3120.2-1,question-select_3120.3-1,question-select_3120.4-1,question-select_3130.1-1,question-select_3130.2-1,question-select_3130.3-1,question-select_3130.4-1,question-select_350.1-2,question-select_350.2-2,question-select_350.3-2,question-select_350.4-2,question-select_360.1-2,question-select_360.2-2,question-select_360.3-2,question-select_360.4-2,question-select_380.1-1,question-select_380.2-1,question-select_380.3-1,question-select_380.4-1,question1_1_1.arg_a,question1_1_1.arg_b,question1_1_1.none,question1_1_2.arg_a,question1_1_2.arg_b,question1_1_2.none,question1_1_repeatedLabeled1.no,question1_1_repeatedLabeled1.none,question1_1_repeatedLabeled1.yes,question1_2_1.val1,question1_2_1.val2,question1_2_1.val3,question1_2_2.val1,question1_2_2.val2,question1_2_2.val3,question1_2_repeatedLabeled1.val1,question1_2_repeatedLabeled1.val2,question1_2_repeatedLabeled1.val3,question1_3_1,question1_3_2,question1_3_last1,question1_3_last2,question1_3_repeatedLabeled1,question2_1_3.val1,question2_1_3.val2,question2_1_3.val3,question2_2_3.val1,question2_2_3.val2,question2_2_3.val3,question2_3_3.val1,question2_3_3.val2,question2_3_3.val3,question2_4_3.val1,question2_4_3.val2,question2_4_3.val3,question3_3_4.val1,question3_3_4.val2,question3_3_4.val3,question3_4_4.val1,question3_4_4.val2,question3_4_4.val3,start_time,submit_time,time_elapsed_1,time_elapsed_2,time_elapsed_3,time_elapsed_id_4,time_elapsed_instructions,time_elapsed_last,time_elapsed_personal_stance,time_elapsed_profile,question-select_340.3-1,question-select_350.2-1,question-select_390.1-1,question-select_370.2-1,question-select_350.4-1,question-select_330.4-2,question-select_340.3-2,question-select_390.2-1,question-select_370.3-1,question-select_370.1-1,question-select_340.2-1,question-select_350.1-1,question-select_350.3-1,question-select_370.4-1,question-select_330.1-2,question-select_3100.2-1,question-select_3100.3-1,question-select_3140.3-1,question-select_330.2-2,question-select_340.4-2,question-select_3140.1-1,question-select_3140.4-1,question-select_360.3-1,question-select_330.3-2,question-select_340.2-2,question-select_3100.4-1,question-select_340.1-2,question-select_340.4-1,question-select_360.1-1,question-select_340.1-1,question-select_390.4-1,question-select_390.3-1,question-select_3100.1-1,question-select_3140.2-1,question-select_360.4-1,question-select_360.2-1,id_worker
one-sided.","Animals are still used to test items like cleaning products, which benefit mankind less than medicines or surgery",False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,07/07/2021 11:09:03,07/07/2021 11:14:10,17,21,13,56,5,92,13,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
ROVED,25,True,False,False,False,True,False,False,True,False,american,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,Animals are important to testing life-saving drugs before they are safe for humans,Driving while using cellphones reduces safety margins,this survey gives good knowledge for everyone,i learn about one sideness is good,"""Animals are still used to test items like cleaning products.",False,True,False,True,False,False,False,True,False,False,True,False,False,True,False,True,False,False,07/08/2021 04:48:13,07/08/2021 05:01:09,181,108,28,112,26,90,166,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
1.0,1.0,False,2021-07-07 19:45:06+00:00,2021-07-08 23:31:46+00:00,APPROVED,REJECTED,36,True,False,False,False,True,False,False,True,False,american,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,True,False,False,True,True,False,False,True,False,False,True,False,False,Text A and B contains a good information. And A is very one sided.,Two different texes and no one is one sided.,Very interesting one. Like to participate another our survey.,Sometimes a story provide one sided.,Text A is more one sided. A good information provided.,False,False,True,False,True,False,False,False,True,True,False,False,True,False,False,True,False,False,07/07/2021 03:37:59,07/07/2021 03:54:34,75,378,231,159,23,80,8,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
1.0,1.0,False,2021-07-07 19:45:07+00:00,2021-07-08 23:31:47+00:00,APPROVED,APPROVED,44,False,False,True,False,True,False,False,True,False,chinese,False,True,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,True,False,False,False,True,False,True,False,False,"A only focus on the replacement test of animal test, not include both good and bad side of it.",both parts explained the reasonable usage of cellphone do not impact the safety of driving.,it is easy to determine which one is one sidedness.,it only focus on pro or con side of one view,it only state the pro of replacement test on animals,False,True,False,True,False,False,True,False,False,False,True,False,True,False,False,False,True,False,07/07/2021 05:08:41,07/07/2021 05:32:13,252,269,343,321,93,59,32,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
1.0,1.0,False,2021-07-05 13:07:51+00:00,2021-07-06 16:54:31+00:00,APPROVED,APPROVED,34,False,True,False,False,True,False,False,True,False,american,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,True,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,True,False,True,False,True,False,False,True,False,False,False,True,False,True,False,False,"Both sides support stopping immigration in one way or another. Neither side is one sided in their explanation, though one side focuses more on how immigrants go passed the border wall and the other focuses on the other ways that immigrants get into the USA.","I believe that B is more one-sided because it seems that the writer uses a more subjective tone rather than objective. There are some opinion sentences in side B that could have been either left out or replaced with facts. Side A seems to just give facts on the dangers of incest, rather than giving an opinion on it.",No final thoughts on the subject.,I don't think I really learned anything about one-sidedness. I already knew a little about it and applied what I knew to the study.,"I don't think A is any more one-sided than B. This is because I feel as though A and B are both telling about different ways that people get into the USA illegally but to me, neither is over-bearingly one sided at all. I really do feel as though both sides have pretty equal arguments, but stating different facts about the same subject (immigrants).",True,False,False,False,True,False,True,False,False,True,False,False,False,False,True,False,True,False,07/05/2021 09:27:36,07/05/2021 09:47:33,204,171,219,373,14,60,23,24,False,False,True,False,False,False,,False,False,True,False,True,False,False,True,False,False,,False,,,,False,False,,False,,False,True,True,False,False,True,,False,False,6
1.0,1.0,False,2021-07-05 13:07:52+00:00,2021-07-06 16:54:32+00:00,APPROVED,APPROVED,35,True,False,False,False,True,False,False,True,False,american,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,True,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,Text A contradicts itself about the border wall being effective by stating that people will simply go around it.,"Text B points out both the low risk of not having an abnormal child and the downfalls for offspring, which is essentially talking about both sides.",I found this interesting and engaging!,That it can be a bit more prevalent than we expect in all types of the media we consume.,Text A argues both sides and therefore isn't more one-sided in my opinion. Text B continues to talk about why a wall isn't logical.,True,False,False,False,False,True,False,True,False,False,True,False,True,False,False,False,True,False,07/05/2021 10:40:36,07/05/2021 10:53:27,125,135,134,203,48,46,18,14,False,False,False,False,False,False,,False,False,True,False,True,False,False,False,False,False,,True,,,,False,False,,False,,False,True,True,True,False,True,,False,False,7
illegal immigrants across.",False,True,False,True,False,False,False,True,False,False,True,False,True,False,False,False,True,False,07/06/2021 03:58:27,07/06/2021 04:07:42,43,37,130,33,32,208,15,36,False,False,False,True,False,False,,True,False,False,False,True,False,False,False,False,False,,False,,,,False,True,,True,,False,False,True,False,False,False,,True,False,9
1.0,1.0,False,2021-07-05 22:00:30+00:00,2021-07-07 01:47:10+00:00,APPROVED,APPROVED,33,True,False,False,False,False,True,True,False,False,indian,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,True,False,"In general, coyotes will always respond to difficulties with effective counter measures that enable them to do business, and shuttle illegal immigrants across.","The offspring of incest often suffer from widespread rejection or mistreatment in society. On the playground, children of incest are likely to be bullied.","It is important for you to ask questions—not just any questions, but those relating to the job, the company and the industry.","The power of one-sided love is something else. Unlike other relationships, you don't have to share it between two people.","In general, coyotes will always respond to difficulties with effective counter measures that enable them to do business, and shuttle illegal immigrants across.",False,True,False,True,False,False,False,True,False,False,True,False,False,True,False,False,True,False,07/06/2021 04:58:45,07/06/2021 05:06:54,258,29,23,22,157,118,10,13,False,True,True,False,False,False,,False,False,True,True,False,False,False,False,False,True,,False,,,,False,True,,False,,False,False,False,False,False,False,,False,True,11
1.0,1.0,False,2021-06-30 22:35:14+00:00,2021-07-02 02:21:54+00:00,APPROVED,APPROVED,40,True,False,False,False,False,True,False,True,False,american,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,,,,,False,False,False,True,,,,,False,False,False,True,,,,,,,,,,,,,False,False,True,False,True,False,False,False,True,False,False,False,True,True,False,False,False,True,False,False,True,False,"“Every day we all make decisions in the workplace, even without realizing it. But for those critical decisions that can affect the entire company, I like to take a bottom up approach. First, I map out every idea I have, and research any that I may not have considered. Next, I hold a brief meeting with stakeholders to receive.","Once I have all of that information, I narrow it down by feasibility, cost, time, and potential benefits. I start narrowing down the list until I have mapped out what I consider to be the best decision.","There are exceptions, such as 'Do you have any idea'. You could say 'Do you have a thought on this' for the singular case. ""Just Another Random Thought"" is the proper title if the writer is only presenting one main thought (whether or not it has other auxiliary thoughts included).",ne-sidedness is never easy to deal with. She made a point about the one-sidedness of some television programmes. She has been accused of political one-sidedness. His approach is risky because of its one-sidedness.,"This is the strategy I used when deciding on the 2018 marketing budget, where I picked 3 core campaigns, 5 side campaigns, and tabled the others based on the data I had on hand.”",True,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False,06/30/2021 06:52:19,06/30/2021 07:13:58,349,74,93,47,34,472,30,87,,,False,False,,False,,False,False,False,,,,True,False,True,False,,True,,,,False,False,,False,,,False,,True,False,False,,False,True,12
1.0,1.0,False,2021-06-30 22:35:15+00:00,2021-07-02 02:21:55+00:00,APPROVED,APPROVED,35,True,False,False,False,True,False,True,False,False,american,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,,,,,False,True,False,False,,,,,True,False,False,False,,,,,,,,,,,,,True,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,"A is talking more about how people will kill people regardless of gun control. B also gives a similar argument, but seems more one sided because they were giving examples of guns being bad.","Even though I believe both sides show good and bad sides, I feel B, with the additional information, is a little more against scanners. They provide more examples as to why it's not good.","I really liked the different questions in the HIT, especially when the arguments were broken down to individual paragraphs, and we had to say if it was pro or con for each.","Honestly, I learned that it is hard to tell how one-sided some arguments are, especially when there are both pros and cons listed. I am used to arguments taking usually only one side, not both.","I initially thought that B was in a previous question, but now I'm not sure. They both have what I believe to be 3 cons vs 1 pro. Because of this, I am unsure if I would agree that any side is more one-sided.",True,False,False,False,True,False,False,True,False,True,False,False,False,True,False,False,True,False,06/30/2021 02:39:21,06/30/2021 02:57:24,181,304,86,107,76,133,81,18,,,True,False,,True,,False,False,True,,,,False,False,False,False,,False,,,,False,False,,False,,,True,,False,False,True,,False,False,13
